iShares Russell 2000 ETF
Fund Holdings as of,"Apr 10, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"280,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GPGI","GPGI INC CLASS A","Information Technology","Equity","67,924,044.08","0.09","67,924,044.08","4,195,432.00","16.19","United States","NYSE","USD","1.00","USD","-"
"TARS","TARSUS PHARMACEUTICALS INC","Health Care","Equity","67,807,465.12","0.09","67,807,465.12","934,502.00","72.56","United States","NASDAQ","USD","1.00","USD","-"
"QTWO","Q2 HOLDINGS INC","Information Technology","Equity","67,542,061.29","0.09","67,542,061.29","1,472,467.00","45.87","United States","NYSE","USD","1.00","USD","-"
"PI","IMPINJ INC","Information Technology","Equity","67,333,407.88","0.09","67,333,407.88","663,122.00","101.54","United States","NASDAQ","USD","1.00","USD","-"
"MZTI","MARZETTI","Consumer Staples","Equity","67,072,990.00","0.09","67,072,990.00","472,345.00","142.00","United States","NASDAQ","USD","1.00","USD","-"
"CWT","CALIFORNIA WATER SERVICE GROUP","Utilities","Equity","66,463,097.04","0.09","66,463,097.04","1,415,916.00","46.94","United States","NYSE","USD","1.00","USD","-"
"MGRC","MCGRATH RENT","Industrials","Equity","66,178,550.94","0.09","66,178,550.94","579,954.00","114.11","United States","NASDAQ","USD","1.00","USD","-"
"SUPN","SUPERNUS PHARMACEUTICALS INC","Health Care","Equity","66,009,939.80","0.09","66,009,939.80","1,302,485.00","50.68","United States","NASDAQ","USD","1.00","USD","-"
"TRN","TRINITY INDUSTRIES INC","Industrials","Equity","65,927,705.00","0.09","65,927,705.00","1,905,425.00","34.60","United States","NYSE","USD","1.00","USD","-"
"PHIN","PHINIA INC","Consumer Discretionary","Equity","65,808,106.68","0.09","65,808,106.68","901,234.00","73.02","United States","NYSE","USD","1.00","USD","-"
"VERA","VERA THERAPEUTICS INC CLASS A","Health Care","Equity","65,664,176.32","0.09","65,664,176.32","1,457,908.00","45.04","United States","NASDAQ","USD","1.00","USD","-"
"PFS","PROVIDENT FINANCIAL SERVICES INC","Financials","Equity","65,630,215.35","0.09","65,630,215.35","2,976,427.00","22.05","United States","NYSE","USD","1.00","USD","-"
"SLG","SL GREEN REALTY REIT CORP","Real Estate","Equity","65,584,284.70","0.09","65,584,284.70","1,707,035.00","38.42","United States","NYSE","USD","1.00","USD","-"
"UNFI","UNITED NATURAL FOODS INC","Consumer Staples","Equity","65,558,376.72","0.09","65,558,376.72","1,417,172.00","46.26","United States","NYSE","USD","1.00","USD","-"
"MRX","MAREX GROUP PLC","Financials","Equity","65,345,789.90","0.09","65,345,789.90","1,308,617.00","49.94","United Kingdom","NASDAQ","USD","1.00","USD","-"
"AKR","ACADIA REALTY TRUST REIT","Real Estate","Equity","65,263,740.75","0.09","65,263,740.75","3,148,275.00","20.73","United States","NYSE","USD","1.00","USD","-"
"DBRG","DIGITALBRIDGE GROUP INC CLASS A","Financials","Equity","65,182,443.35","0.09","65,182,443.35","4,191,797.00","15.55","United States","NYSE","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","64,931,467.80","0.09","64,931,467.80","852,119.00","76.20","United States","NASDAQ","USD","1.00","USD","-"
"HGV","HILTON GRAND VACATIONS INC","Consumer Discretionary","Equity","64,820,099.04","0.09","64,820,099.04","1,443,012.00","44.92","United States","NYSE","USD","1.00","USD","-"
"CAKE","CHEESECAKE FACTORY INC","Consumer Discretionary","Equity","64,792,022.75","0.09","64,792,022.75","1,095,385.00","59.15","United States","NASDAQ","USD","1.00","USD","-"
"ACAD","ACADIA PHARMACEUTICALS INC","Health Care","Equity","64,790,178.46","0.09","64,790,178.46","2,980,229.00","21.74","United States","NASDAQ","USD","1.00","USD","-"
"RRR","RED ROCK RESORTS ORS CLASS A INC","Consumer Discretionary","Equity","64,778,930.00","0.09","64,778,930.00","1,152,650.00","56.20","United States","NASDAQ","USD","1.00","USD","-"
"VSH","VISHAY INTERTECHNOLOGY INC","Information Technology","Equity","64,609,271.79","0.09","64,609,271.79","2,875,357.00","22.47","United States","NYSE","USD","1.00","USD","-"
"DNLI","DENALI THERAPEUTICS INC","Health Care","Equity","64,512,188.64","0.09","64,512,188.64","3,354,768.00","19.23","United States","NASDAQ","USD","1.00","USD","-"
"BBT","BEACON FINANCIAL CORP","Financials","Equity","64,414,657.90","0.09","64,414,657.90","2,024,345.00","31.82","United States","NYSE","USD","1.00","USD","-"
"SHOO","STEVEN MADDEN LTD","Consumer Discretionary","Equity","64,390,788.80","0.09","64,390,788.80","1,696,280.00","37.96","United States","NASDAQ","USD","1.00","USD","-"
"PBH","PRESTIGE CONSUMER HEALTHCARE INC","Health Care","Equity","64,116,446.55","0.09","64,116,446.55","1,133,801.00","56.55","United States","NYSE","USD","1.00","USD","-"
"CARG","CARGURUS INC CLASS A","Communication","Equity","63,979,546.90","0.09","63,979,546.90","1,873,486.00","34.15","United States","NASDAQ","USD","1.00","USD","-"
"NGVT","INGEVITY CORP","Materials","Equity","63,962,123.75","0.09","63,962,123.75","849,995.00","75.25","United States","NYSE","USD","1.00","USD","-"
"UE","URBAN EDGE PROPERTIES","Real Estate","Equity","63,939,127.65","0.09","63,939,127.65","3,051,987.00","20.95","United States","NYSE","USD","1.00","USD","-"
"HAE","HAEMONETICS CORP","Health Care","Equity","63,617,117.88","0.09","63,617,117.88","1,109,859.00","57.32","United States","NYSE","USD","1.00","USD","-"
"CURB","CURBLINE PROPERTIES","Real Estate","Equity","63,540,928.00","0.09","63,540,928.00","2,308,900.00","27.52","United States","NYSE","USD","1.00","USD","-"
"GOLF","ACUSHNET HOLDINGS CORP","Consumer Discretionary","Equity","63,319,905.11","0.09","63,319,905.11","647,509.00","97.79","United States","NYSE","USD","1.00","USD","-"
"PFSI","PENNYMAC FINANCIAL SERVICES INC","Financials","Equity","63,186,339.81","0.09","63,186,339.81","691,241.00","91.41","United States","NYSE","USD","1.00","USD","-"
"CVBF","CVB FINANCIAL CORP","Financials","Equity","63,164,012.52","0.09","63,164,012.52","3,069,194.00","20.58","United States","NASDAQ","USD","1.00","USD","-"
"NG","NOVAGOLD RESOURCES INC","Materials","Equity","63,031,335.00","0.09","63,031,335.00","6,648,875.00","9.48","Canada","Nyse Mkt Llc","USD","1.00","USD","-"
"ARQT","ARCUTIS BIOTHERAPEUTICS INC","Health Care","Equity","62,990,086.41","0.09","62,990,086.41","2,601,821.00","24.21","United States","NASDAQ","USD","1.00","USD","-"
"WK","WORKIVA INC CLASS A","Information Technology","Equity","62,816,187.28","0.09","62,816,187.28","1,199,698.00","52.36","United States","NYSE","USD","1.00","USD","-"
"FCPT","FOUR CORNERS PROPERTY INC TRUST","Real Estate","Equity","62,762,211.12","0.09","62,762,211.12","2,496,508.00","25.14","United States","NYSE","USD","1.00","USD","-"
"SLNO","SOLENO THERAPEUTICS INC","Health Care","Equity","62,507,598.40","0.09","62,507,598.40","1,187,680.00","52.63","United States","NASDAQ","USD","1.00","USD","-"
"BEAM","BEAM THERAPEUTICS INC","Health Care","Equity","61,989,742.75","0.08","61,989,742.75","2,259,925.00","27.43","United States","NASDAQ","USD","1.00","USD","-"
"TXG","10X GENOMICS INC CLASS A","Health Care","Equity","61,956,235.38","0.08","61,956,235.38","2,662,494.00","23.27","United States","NASDAQ","USD","1.00","USD","-"
"DX","DYNEX CAPITAL REIT INC","Financials","Equity","61,818,979.08","0.08","61,818,979.08","4,693,924.00","13.17","United States","NYSE","USD","1.00","USD","-"
"RXO","RXO INC","Industrials","Equity","61,784,618.72","0.08","61,784,618.72","3,847,112.00","16.06","United States","NYSE","USD","1.00","USD","-"
"LUNR","INTUITIVE MACHINES INC CLASS A","Industrials","Equity","61,566,395.62","0.08","61,566,395.62","2,612,066.00","23.57","United States","NASDAQ","USD","1.00","USD","-"
"NOG","NORTHERN OIL AND GAS INC","Energy","Equity","61,407,682.56","0.08","61,407,682.56","2,279,424.00","26.94","United States","NYSE","USD","1.00","USD","-"
"PRVA","PRIVIA HEALTH GROUP INC","Health Care","Equity","61,397,104.66","0.08","61,397,104.66","2,744,618.00","22.37","United States","NASDAQ","USD","1.00","USD","-"
"PPTA","PERPETUA RESOURCES CORP","Materials","Equity","61,336,850.46","0.08","61,336,850.46","2,048,659.00","29.94","United States","NASDAQ","USD","1.00","USD","-"
"IVT","INVENTRUST PROPERTIES CORP","Real Estate","Equity","61,324,553.28","0.08","61,324,553.28","1,906,858.00","32.16","United States","NYSE","USD","1.00","USD","-"
"VC","VISTEON CORP","Consumer Discretionary","Equity","61,169,936.00","0.08","61,169,936.00","650,744.00","94.00","United States","NASDAQ","USD","1.00","USD","-"
"FRME","FIRST MERCHANTS CORP","Financials","Equity","61,154,297.82","0.08","61,154,297.82","1,489,026.00","41.07","United States","NASDAQ","USD","1.00","USD","-"
"JOE","ST JOE","Real Estate","Equity","61,064,572.22","0.08","61,064,572.22","906,406.00","67.37","United States","NYSE","USD","1.00","USD","-"
"HE","HAWAIIAN ELECTRIC INDUSTRIES INC","Utilities","Equity","61,044,174.80","0.08","61,044,174.80","3,888,164.00","15.70","United States","NYSE","USD","1.00","USD","-"
"WAFD","WAFD INC","Financials","Equity","60,935,868.30","0.08","60,935,868.30","1,872,645.00","32.54","United States","NASDAQ","USD","1.00","USD","-"
"IDYA","IDEAYA BIOSCIENCES INC","Health Care","Equity","60,778,417.50","0.08","60,778,417.50","1,992,735.00","30.50","United States","NASDAQ","USD","1.00","USD","-"
"PLAB","PHOTRONICS INC","Information Technology","Equity","60,655,589.60","0.08","60,655,589.60","1,350,904.00","44.90","United States","NASDAQ","USD","1.00","USD","-"
"PRK","PARK NATIONAL CORP","Financials","Equity","60,656,380.95","0.08","60,656,380.95","351,285.00","172.67","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"CON","CONCENTRA GROUP HOLDINGS PARENT IN","Health Care","Equity","60,358,026.72","0.08","60,358,026.72","2,752,304.00","21.93","United States","NYSE","USD","1.00","USD","-"
"CLSK","CLEANSPARK INC","Information Technology","Equity","60,082,565.28","0.08","60,082,565.28","5,996,264.00","10.02","United States","NASDAQ","USD","1.00","USD","-"
"LQDA","LIQUIDIA CORP","Health Care","Equity","59,553,813.30","0.08","59,553,813.30","1,544,846.00","38.55","United States","NASDAQ","USD","1.00","USD","-"
"MCY","MERCURY GENERAL CORP","Financials","Equity","59,285,681.82","0.08","59,285,681.82","642,942.00","92.21","United States","NYSE","USD","1.00","USD","-"
"OSW","ONESPAWORLD HOLDINGS LTD","Consumer Discretionary","Equity","59,163,049.00","0.08","59,163,049.00","2,427,700.00","24.37","United States","NASDAQ","USD","1.00","USD","-"
"TRMK","TRUSTMARK CORP","Financials","Equity","59,124,104.82","0.08","59,124,104.82","1,316,502.00","44.91","United States","NASDAQ","USD","1.00","USD","-"
"SOUN","SOUNDHOUND AI INC CLASS A","Information Technology","Equity","58,978,358.39","0.08","58,978,358.39","9,172,373.00","6.43","United States","NASDAQ","USD","1.00","USD","-"
"DYN","DYNE THERAPEUTICS INC","Health Care","Equity","58,724,054.48","0.08","58,724,054.48","3,143,686.00","18.68","United States","NASDAQ","USD","1.00","USD","-"
"BANC","BANC OF CALIFORNIA INC","Financials","Equity","58,468,427.16","0.08","58,468,427.16","3,170,739.00","18.44","United States","NYSE","USD","1.00","USD","-"
"BELFB","BEL FUSE INC CLASS B","Information Technology","Equity","58,455,146.75","0.08","58,455,146.75","247,975.00","235.73","United States","NASDAQ","USD","1.00","USD","-"
"CUBI","CUSTOMERS BANCORP INC","Financials","Equity","58,381,513.54","0.08","58,381,513.54","789,046.00","73.99","United States","NYSE","USD","1.00","USD","-"
"ACMR","ACM RESEARCH CLASS A INC","Information Technology","Equity","58,361,258.23","0.08","58,361,258.23","1,214,089.00","48.07","United States","NASDAQ","USD","1.00","USD","-"
"DK","DELEK US HOLDINGS INC","Energy","Equity","58,348,346.00","0.08","58,348,346.00","1,397,900.00","41.74","United States","NYSE","USD","1.00","USD","-"
"KN","KNOWLES CORP","Information Technology","Equity","58,001,772.36","0.08","58,001,772.36","2,022,377.00","28.68","United States","NYSE","USD","1.00","USD","-"
"ARCB","ARCBEST CORP","Industrials","Equity","57,922,570.56","0.08","57,922,570.56","533,947.00","108.48","United States","NASDAQ","USD","1.00","USD","-"
"TBBK","BANCORP INC","Financials","Equity","57,795,815.00","0.08","57,795,815.00","987,625.00","58.52","United States","NASDAQ","USD","1.00","USD","-"
"HNI","HNI CORP","Industrials","Equity","57,764,140.20","0.08","57,764,140.20","1,654,185.00","34.92","United States","NYSE","USD","1.00","USD","-"
"VCYT","VERACYTE INC","Health Care","Equity","57,646,798.19","0.08","57,646,798.19","1,854,191.00","31.09","United States","NASDAQ","USD","1.00","USD","-"
"CLDX","CELLDEX THERAPEUTICS INC","Health Care","Equity","57,638,059.44","0.08","57,638,059.44","1,787,781.00","32.24","United States","NASDAQ","USD","1.00","USD","-"
"ANDE","ANDERSONS INC","Consumer Staples","Equity","57,518,709.12","0.08","57,518,709.12","771,856.00","74.52","United States","NASDAQ","USD","1.00","USD","-"
"COCO","THE VITA COCO COMPANY INC","Consumer Staples","Equity","57,413,199.00","0.08","57,413,199.00","1,125,749.00","51.00","United States","NASDAQ","USD","1.00","USD","-"
"MSGE","MADISON SQUARE GARDEN ENTERTAINMEN","Communication","Equity","56,867,524.80","0.08","56,867,524.80","938,408.00","60.60","United States","NYSE","USD","1.00","USD","-"
"TVTX","TRAVERE THERAPEUTICS INC","Health Care","Equity","56,457,462.08","0.08","56,457,462.08","1,949,498.00","28.96","United States","NASDAQ","USD","1.00","USD","-"
"LMAT","LEMAITRE VASCULAR INC","Health Care","Equity","56,447,942.98","0.08","56,447,942.98","492,479.00","114.62","United States","NASDAQ","USD","1.00","USD","-"
"VECO","VEECO INSTRUMENTS INC","Information Technology","Equity","56,324,828.56","0.08","56,324,828.56","1,406,714.00","40.04","United States","NASDAQ","USD","1.00","USD","-"
"FBK","FB FINANCIAL CORP","Financials","Equity","56,269,151.10","0.08","56,269,151.10","1,024,939.00","54.90","United States","NYSE","USD","1.00","USD","-"
"FBNC","FIRST BANCORP","Financials","Equity","56,246,280.09","0.08","56,246,280.09","959,343.00","58.63","United States","NASDAQ","USD","1.00","USD","-"
"BANF","BANCFIRST CORP","Financials","Equity","56,141,470.08","0.08","56,141,470.08","493,508.00","113.76","United States","NASDAQ","USD","1.00","USD","-"
"WAY","WAYSTAR HOLDING CORP","Health Care","Equity","56,076,945.00","0.08","56,076,945.00","2,608,230.00","21.50","United States","NASDAQ","USD","1.00","USD","-"
"ABM","ABM INDUSTRIES INC","Industrials","Equity","56,016,163.93","0.08","56,016,163.93","1,427,891.00","39.23","United States","NYSE","USD","1.00","USD","-"
"NTB","BANK OF NT BUTTERFIELD & SON LTD","Financials","Equity","55,916,923.20","0.08","55,916,923.20","998,160.00","56.02","United States","NYSE","USD","1.00","USD","-"
"HLIO","HELIOS TECHNOLOGIES INC","Industrials","Equity","55,864,506.18","0.08","55,864,506.18","785,386.00","71.13","United States","NYSE","USD","1.00","USD","-"
"UPST","UPSTART HOLDINGS INC","Financials","Equity","55,829,624.92","0.08","55,829,624.92","2,048,042.00","27.26","United States","NASDAQ","USD","1.00","USD","-"
"DHT","DHT HOLDINGS INC","Energy","Equity","55,723,118.58","0.08","55,723,118.58","3,191,473.00","17.46","Bermuda","NYSE","USD","1.00","USD","-"
"APAM","ARTISAN PARTNERS ASSET MANAGEMENT","Financials","Equity","55,679,572.20","0.08","55,679,572.20","1,512,210.00","36.82","United States","NYSE","USD","1.00","USD","-"
"PRDO","PERDOCEO EDUCATION CORP","Consumer Discretionary","Equity","55,671,562.16","0.08","55,671,562.16","1,573,532.00","35.38","United States","NASDAQ","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS INC","Information Technology","Equity","55,573,802.79","0.08","55,573,802.79","2,752,541.00","20.19","United States","NASDAQ","USD","1.00","USD","-"
"CHEF","CHEFS WAREHOUSE INC","Consumer Staples","Equity","55,499,026.50","0.08","55,499,026.50","860,050.00","64.53","United States","NASDAQ","USD","1.00","USD","-"
"GEO","GEO GROUP INC","Industrials","Equity","55,384,439.77","0.08","55,384,439.77","3,159,409.00","17.53","United States","NYSE","USD","1.00","USD","-"
"VRRM","VERRA MOBILITY CORP CLASS A","Industrials","Equity","55,269,287.50","0.08","55,269,287.50","3,811,675.00","14.50","United States","NASDAQ","USD","1.00","USD","-"
"CPRI","CAPRI HOLDINGS LTD","Consumer Discretionary","Equity","55,197,376.64","0.08","55,197,376.64","2,776,528.00","19.88","United States","NYSE","USD","1.00","USD","-"
"HUBG","HUB GROUP INC CLASS A","Industrials","Equity","55,188,456.66","0.08","55,188,456.66","1,416,178.00","38.97","United States","NASDAQ","USD","1.00","USD","-"
"NBTB","NBT BANCORP INC","Financials","Equity","55,072,800.64","0.08","55,072,800.64","1,219,504.00","45.16","United States","NASDAQ","USD","1.00","USD","-"
"CLMT","CALUMET INC","Energy","Equity","54,930,260.00","0.07","54,930,260.00","1,632,400.00","33.65","United States","NASDAQ","USD","1.00","USD","-"
"EXTR","EXTREME NETWORKS INC","Information Technology","Equity","54,893,837.79","0.07","54,893,837.79","3,160,267.00","17.37","United States","NASDAQ","USD","1.00","USD","-"
"NMRK","NEWMARK GROUP INC CLASS A","Real Estate","Equity","54,676,077.30","0.07","54,676,077.30","3,608,982.00","15.15","United States","NASDAQ","USD","1.00","USD","-"
"NWN","NORTHWEST NATURAL HOLDING COMPANY","Utilities","Equity","54,615,657.60","0.07","54,615,657.60","982,296.00","55.60","United States","NYSE","USD","1.00","USD","-"
"NTCT","NETSCOUT SYSTEMS INC","Information Technology","Equity","54,419,158.08","0.07","54,419,158.08","1,692,138.00","32.16","United States","NASDAQ","USD","1.00","USD","-"
"ORKA","ORUKA THERAPEUTICS INC","Health Care","Equity","54,360,136.62","0.07","54,360,136.62","912,389.00","59.58","United States","NASDAQ","USD","1.00","USD","-"
"KALU","KAISER ALUMINIUM CORP","Materials","Equity","54,351,563.20","0.07","54,351,563.20","380,960.00","142.67","United States","NASDAQ","USD","1.00","USD","-"
"MTX","MINERALS TECHNOLOGIES INC","Materials","Equity","54,238,598.82","0.07","54,238,598.82","742,791.00","73.02","United States","NYSE","USD","1.00","USD","-"
"ATKR","ATKORE INC","Industrials","Equity","54,102,903.75","0.07","54,102,903.75","797,625.00","67.83","United States","NYSE","USD","1.00","USD","-"
"ATRO","ASTRONICS CORP","Industrials","Equity","53,555,467.02","0.07","53,555,467.02","738,798.00","72.49","United States","NASDAQ","USD","1.00","USD","-"
"DNOW","DNOW INC","Industrials","Equity","53,555,502.00","0.07","53,555,502.00","4,386,200.00","12.21","United States","NYSE","USD","1.00","USD","-"
"BUSE","FIRST BUSEY CORP","Financials","Equity","53,496,286.20","0.07","53,496,286.20","2,005,860.00","26.67","United States","NASDAQ","USD","1.00","USD","-"
"CSGS","CSG SYSTEMS INTERNATIONAL INC","Industrials","Equity","53,446,389.84","0.07","53,446,389.84","667,746.00","80.04","United States","NASDAQ","USD","1.00","USD","-"
"ADMA","ADMA BIOLOGICS INC","Health Care","Equity","53,110,400.30","0.07","53,110,400.30","5,475,299.00","9.70","United States","NASDAQ","USD","1.00","USD","-"
"BHE","BENCHMARK ELECTRONICS INC","Information Technology","Equity","53,045,811.00","0.07","53,045,811.00","841,997.00","63.00","United States","NYSE","USD","1.00","USD","-"
"BANR","BANNER CORP","Financials","Equity","52,971,881.85","0.07","52,971,881.85","827,815.00","63.99","United States","NASDAQ","USD","1.00","USD","-"
"LION","LIONSGATE STUDIOS CORP","Communication","Equity","52,717,669.12","0.07","52,717,669.12","4,845,374.00","10.88","United States","NYSE","USD","1.00","USD","-"
"AMR","ALPHA METALLURGICAL RESOURCE INC","Materials","Equity","52,503,669.36","0.07","52,503,669.36","272,718.00","192.52","United States","NYSE","USD","1.00","USD","-"
"EWTX","EDGEWISE THERAPEUTICS INC","Health Care","Equity","52,353,413.76","0.07","52,353,413.76","1,595,168.00","32.82","United States","NASDAQ","USD","1.00","USD","-"
"TNGX","TANGO THERAPEUTICS INC","Health Care","Equity","52,315,563.30","0.07","52,315,563.30","2,622,334.00","19.95","United States","NASDAQ","USD","1.00","USD","-"
"IMNM","IMMUNOME INC","Health Care","Equity","52,144,130.94","0.07","52,144,130.94","2,406,282.00","21.67","United States","NASDAQ","USD","1.00","USD","-"
"KNTK","KINETIK HOLDINGS INC CLASS A","Energy","Equity","51,630,370.78","0.07","51,630,370.78","1,091,782.00","47.29","United States","NYSE","USD","1.00","USD","-"
"PLUS","EPLUS","Information Technology","Equity","51,425,294.82","0.07","51,425,294.82","631,838.00","81.39","United States","NASDAQ","USD","1.00","USD","-"
"AMBA","AMBARELLA INC","Information Technology","Equity","51,420,703.88","0.07","51,420,703.88","974,246.00","52.78","United States","NASDAQ","USD","1.00","USD","-"
"CASH","PATHWARD FINANCIAL INC","Financials","Equity","51,355,326.45","0.07","51,355,326.45","541,095.00","94.91","United States","NASDAQ","USD","1.00","USD","-"
"NHC","NATIONAL HEALTHCARE CORP","Health Care","Equity","51,313,089.00","0.07","51,313,089.00","300,340.00","170.85","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"BCRX","BIOCRYST PHARMACEUTICALS INC","Health Care","Equity","51,275,872.60","0.07","51,275,872.60","5,363,585.00","9.56","United States","NASDAQ","USD","1.00","USD","-"
"IBRX","IMMUNITYBIO INC","Health Care","Equity","50,758,205.68","0.07","50,758,205.68","6,972,281.00","7.28","United States","NASDAQ","USD","1.00","USD","-"
"EFSC","ENTERPRISE FINANCIAL SERVICES CORP","Financials","Equity","50,701,643.10","0.07","50,701,643.10","876,130.00","57.87","United States","NASDAQ","USD","1.00","USD","-"
"ROG","ROGERS CORP","Information Technology","Equity","50,425,422.84","0.07","50,425,422.84","427,479.00","117.96","United States","NYSE","USD","1.00","USD","-"
"DRH","DIAMONDROCK HOSPITALITY","Real Estate","Equity","50,251,717.24","0.07","50,251,717.24","4,936,318.00","10.18","United States","NASDAQ","USD","1.00","USD","-"
"DFTX","DEFINIUM THERAPEUTICS INC","Health Care","Equity","50,018,474.47","0.07","50,018,474.47","2,323,199.00","21.53","United States","NASDAQ","USD","1.00","USD","-"
"RLAY","RELAY THERAPEUTICS INC","Health Care","Equity","49,789,746.18","0.07","49,789,746.18","3,332,647.00","14.94","United States","NASDAQ","USD","1.00","USD","-"
"SNDX","SYNDAX PHARMACEUTICALS INC","Health Care","Equity","49,612,393.48","0.07","49,612,393.48","2,029,967.00","24.44","United States","NASDAQ","USD","1.00","USD","-"
"GRBK","GREEN BRICK PARTNERS INC","Consumer Discretionary","Equity","49,465,870.72","0.07","49,465,870.72","735,224.00","67.28","United States","NYSE","USD","1.00","USD","-"
"DBD","DIEBOLD NIXDORF INC","Information Technology","Equity","49,417,498.98","0.07","49,417,498.98","582,891.00","84.78","United States","NYSE","USD","1.00","USD","-"
"WRBY","WARBY PARKER INC CLASS A","Consumer Discretionary","Equity","48,827,730.24","0.07","48,827,730.24","2,345,232.00","20.82","United States","NYSE","USD","1.00","USD","-"
"AEHR","AEHR TEST SYSTEMS","Information Technology","Equity","48,790,523.36","0.07","48,790,523.36","692,752.00","70.43","United States","NASDAQ","USD","1.00","USD","-"
"CXW","CORECIVIC REIT INC","Industrials","Equity","48,765,175.92","0.07","48,765,175.92","2,448,051.00","19.92","United States","NYSE","USD","1.00","USD","-"
"NEOG","NEOGEN CORP","Health Care","Equity","48,663,324.36","0.07","48,663,324.36","5,165,958.00","9.42","United States","NASDAQ","USD","1.00","USD","-"
"HURN","HURON CONSULTING GROUP INC","Industrials","Equity","48,569,021.10","0.07","48,569,021.10","402,795.00","120.58","United States","NASDAQ","USD","1.00","USD","-"
"BWIN","BALDWIN INSURANCE GROUP INC CLASS","Financials","Equity","48,278,320.89","0.07","48,278,320.89","2,257,051.00","21.39","United States","NASDAQ","USD","1.00","USD","-"
"ALRM","ALARM.COM HOLDINGS INC","Information Technology","Equity","48,272,336.25","0.07","48,272,336.25","1,131,825.00","42.65","United States","NASDAQ","USD","1.00","USD","-"
"NSIT","INSIGHT ENTERPRISES INC","Information Technology","Equity","48,172,880.31","0.07","48,172,880.31","700,289.00","68.79","United States","NASDAQ","USD","1.00","USD","-"
"ARR","ARMOUR RESIDENTIAL REIT INC","Financials","Equity","47,719,902.39","0.07","47,719,902.39","2,700,617.00","17.67","United States","NYSE","USD","1.00","USD","-"
"EYE","NATIONAL VISION HOLDINGS INC","Consumer Discretionary","Equity","47,342,795.95","0.06","47,342,795.95","1,844,285.00","25.67","United States","NASDAQ","USD","1.00","USD","-"
"BLBD","BLUE BIRD CORP","Industrials","Equity","47,303,893.00","0.06","47,303,893.00","750,260.00","63.05","United States","NASDAQ","USD","1.00","USD","-"
"DXPE","DXP ENTERPRISES INC","Industrials","Equity","47,291,566.08","0.06","47,291,566.08","307,968.00","153.56","United States","NASDAQ","USD","1.00","USD","-"
"DGII","DIGI INTERNATIONAL INC","Information Technology","Equity","47,106,633.75","0.06","47,106,633.75","874,775.00","53.85","United States","NASDAQ","USD","1.00","USD","-"
"HTO","H2O AMERICA","Utilities","Equity","47,069,605.44","0.06","47,069,605.44","788,832.00","59.67","United States","NASDAQ","USD","1.00","USD","-"
"IMVT","IMMUNOVANT INC","Health Care","Equity","46,912,649.00","0.06","46,912,649.00","1,914,802.00","24.50","United States","NASDAQ","USD","1.00","USD","-"
"AMPX","AMPRIUS TECHNOLOGIES INC","Industrials","Equity","46,840,776.36","0.06","46,840,776.36","2,720,138.00","17.22","United States","NYSE","USD","1.00","USD","-"
"BATRK","ATLANTA BRAVES HOLDINGS INC SERIES","Communication","Equity","46,832,743.92","0.06","46,832,743.92","1,060,044.00","44.18","United States","NASDAQ","USD","1.00","USD","-"
"WT","WISDOMTREE INC","Financials","Equity","46,519,308.00","0.06","46,519,308.00","2,936,825.00","15.84","United States","NYSE","USD","1.00","USD","-"
"NWBI","NORTHWEST BANCSHARES INC","Financials","Equity","46,506,813.36","0.06","46,506,813.36","3,429,706.00","13.56","United States","NASDAQ","USD","1.00","USD","-"
"SPSC","SPS COMMERCE INC","Information Technology","Equity","46,379,242.35","0.06","46,379,242.35","901,443.00","51.45","United States","NASDAQ","USD","1.00","USD","-"
"GT","GOODYEAR TIRE & RUBBER","Consumer Discretionary","Equity","46,301,719.90","0.06","46,301,719.90","6,521,369.00","7.10","United States","NASDAQ","USD","1.00","USD","-"
"ICHR","ICHOR HOLDINGS LTD","Information Technology","Equity","46,264,212.50","0.06","46,264,212.50","804,595.00","57.50","United States","NASDAQ","USD","1.00","USD","-"
"DCO","DUCOMMUN INC","Industrials","Equity","45,920,499.73","0.06","45,920,499.73","328,027.00","139.99","United States","NYSE","USD","1.00","USD","-"
"STC","STEWART INFO SERVICES CORP","Financials","Equity","45,841,581.20","0.06","45,841,581.20","709,622.00","64.60","United States","NYSE","USD","1.00","USD","-"
"NVTS","NAVITAS SEMICONDUCTOR CORP","Information Technology","Equity","45,769,313.88","0.06","45,769,313.88","4,797,622.00","9.54","United States","NASDAQ","USD","1.00","USD","-"
"PAGS","PAGSEGURO DIGITAL LTD CLASS A","Financials","Equity","45,752,234.44","0.06","45,752,234.44","4,287,932.00","10.67","Brazil","NYSE","USD","1.00","USD","-"
"RSI","RUSH STREET INTERACTIVE INC CLASS","Consumer Discretionary","Equity","45,713,481.87","0.06","45,713,481.87","2,167,543.00","21.09","United States","NYSE","USD","1.00","USD","-"
