iShares Russell 2000 ETF
Fund Holdings as of,"Apr 10, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"280,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AGX","ARGAN INC","Industrials","Equity","191,467,398.72","0.26","191,467,398.72","317,083.00","603.84","United States","NYSE","USD","1.00","USD","-"
"ESE","ESCO TECHNOLOGIES INC","Industrials","Equity","190,557,214.47","0.26","190,557,214.47","613,533.00","310.59","United States","NYSE","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","189,116,842.20","0.26","189,116,842.20","937,940.00","201.63","United States","NASDAQ","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","187,372,702.68","0.26","187,372,702.68","2,198,694.00","85.22","United States","NASDAQ","USD","1.00","USD","-"
"FLR","FLUOR CORP","Industrials","Equity","187,270,967.87","0.26","187,270,967.87","3,805,547.00","49.21","United States","NYSE","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","186,203,901.28","0.25","186,203,901.28","1,260,178.00","147.76","United States","NASDAQ","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","183,685,820.01","0.25","183,685,820.01","2,825,501.00","65.01","United States","NASDAQ","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","178,588,557.76","0.24","178,588,557.76","2,933,452.00","60.88","United States","NASDAQ","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","174,157,917.21","0.24","174,157,917.21","977,811.00","178.11","United States","NASDAQ","USD","1.00","USD","-"
"CMC","COMMERCIAL METALS","Materials","Equity","173,199,938.22","0.24","173,199,938.22","2,632,618.00","65.79","United States","NYSE","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","169,209,512.78","0.23","169,209,512.78","3,544,397.00","47.74","United States","NYSE","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","167,671,530.24","0.23","167,671,530.24","22,536,496.00","7.44","United States","NYSE","USD","1.00","USD","-"
"TEX","TEREX CORP","Industrials","Equity","167,530,488.84","0.23","167,530,488.84","2,651,638.00","63.18","United States","NYSE","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","167,500,689.84","0.23","167,500,689.84","5,902,068.00","28.38","United States","NYSE","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","166,200,010.76","0.23","166,200,010.76","1,442,458.00","115.22","United States","NYSE","USD","1.00","USD","-"
"ENS","ENERSYS","Industrials","Equity","166,145,273.25","0.23","166,145,273.25","869,825.00","191.01","United States","NYSE","USD","1.00","USD","-"
"JXN","JACKSON FINANCIAL INC CLASS A","Financials","Equity","164,477,863.96","0.22","164,477,863.96","1,618,558.00","101.62","United States","NYSE","USD","1.00","USD","-"
"VSAT","VIASAT INC","Information Technology","Equity","164,342,925.00","0.22","164,342,925.00","2,921,652.00","56.25","United States","NASDAQ","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","163,654,337.21","0.22","163,654,337.21","845,453.00","193.57","United States","NYSE","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","163,081,279.20","0.22","163,081,279.20","1,417,605.00","115.04","United States","NYSE","USD","1.00","USD","-"
"SLAB","SILICON LABORATORIES INC","Information Technology","Equity","162,648,693.68","0.22","162,648,693.68","770,044.00","211.22","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","161,734,719.50","0.22","161,734,719.50","1,740,955.00","92.90","United States","NASDAQ","USD","1.00","USD","-"
"AVAV","AEROVIRONMENT INC","Industrials","Equity","160,595,994.80","0.22","160,595,994.80","893,590.00","179.72","United States","NASDAQ","USD","1.00","USD","-"
"SSRM","SSR MINING INC","Materials","Equity","159,391,941.78","0.22","159,391,941.78","4,811,106.00","33.13","Canada","NASDAQ","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","158,943,405.66","0.22","158,943,405.66","1,024,582.00","155.13","United States","NYSE","USD","1.00","USD","-"
